fold_id,ablation,seed,total_return,sharpe_ratio,max_drawdown,num_trades
fold_1,full,42.0,-0.1175,-2.697,-0.1298,433.0
fold_1,full,123.0,-0.1182,-2.128,-0.129,419.0
fold_1,full,456.0,0.135,1.916,-0.0405,307.0
fold_1,full,789.0,-0.0926999999999999,-1.978,-0.1026,375.0
fold_1,full,2024.0,-0.0833,-1.733,-0.0971,447.0
fold_1,random_prices,42.0,0.016,0.392,-0.0391,498.0
fold_1,random_prices,123.0,-0.0467,-0.965,-0.0713999999999999,616.0
fold_1,random_prices,456.0,-0.1767,-2.908,-0.1784,588.0
fold_1,random_prices,789.0,0.0051,0.108,-0.0447,332.0
fold_1,random_prices,2024.0,-0.1101999999999999,-2.236,-0.122,593.0
fold_2,full,42.0,0.1257,1.337,-0.0702,418.0
fold_2,full,123.0,0.1793,1.506,-0.0822,328.0
fold_2,full,456.0,0.067,0.744,-0.0626,586.0
fold_2,full,789.0,0.0751999999999999,0.882,-0.0708,601.0
fold_2,full,2024.0,0.1348,1.093,-0.098,353.0
fold_2,random_prices,42.0,-0.0728,-1.19,-0.091,575.0
fold_2,random_prices,123.0,-0.0219,-0.375,-0.0771999999999999,392.0
fold_2,random_prices,456.0,-0.0864,-1.813,-0.1055,668.0
fold_2,random_prices,789.0,-0.0503,-0.942,-0.0883,496.0
fold_2,random_prices,2024.0,-0.0892999999999999,-1.866,-0.1099,549.0
fold_3,full,42.0,0.1144999999999999,0.588,-0.1962,139.0
fold_3,full,123.0,0.1092,0.661,-0.1664,363.0
fold_3,full,456.0,0.1221,0.64,-0.1755,447.0
fold_3,full,789.0,0.121,0.6,-0.1939,167.0
fold_3,full,2024.0,0.0984,0.675,-0.1319,382.0
fold_3,random_prices,42.0,-0.2334360161564241,-4.276941369571109,-0.2347018925143545,764.0
fold_3,random_prices,123.0,-0.0746256132910737,-1.3752786717530123,-0.093298133184965,867.0
fold_3,random_prices,456.0,0.0370330491167234,0.5581428469332597,-0.0757085480674767,483.0
fold_3,random_prices,789.0,-0.0450263518577416,-0.7495905783843736,-0.0757852701277006,555.0
fold_3,random_prices,2024.0,-0.110187691243928,-1.9276666990556484,-0.1272949973694304,695.0
